tamano;obstaculos;repeticion;algoritmo;tiempoMs;nodosVisitados;longitudRuta;maxColaPila;memoriaAprox
20;20%;5;DFS;0.0272;48;42;27;75
20;20%;6;BFS;0.0241;319;38;21;340
20;20%;6;DFS;0.0519;124;90;60;184
20;20%;7;BFS;0.0209;320;38;19;339
20;20%;7;DFS;0.036;84;50;30;114
20;20%;8;BFS;0.0213;320;38;20;340
20;20%;8;DFS;0.0326;71;64;37;108
20;20%;9;BFS;0.0206;320;38;21;341
20;20%;9;DFS;0.0262;54;48;28;82
20;20%;10;BFS;0.0213;320;38;21;341
20;20%;10;DFS;0.0273;54;48;28;82
20;20%;11;BFS;0.0216;318;38;17;335
20;20%;11;DFS;0.026;45;38;33;78
20;20%;12;BFS;0.0311;320;38;23;343
20;20%;12;DFS;0.0474;74;42;25;99
20;20%;13;BFS;0.0294;319;38;22;341
20;20%;13;DFS;0.0604;125;96;57;182
20;20%;14;BFS;0.0204;316;38;17;333
20;20%;14;DFS;0.0265;55;44;25;80
20;20%;15;BFS;0.029;320;38;24;344
20;20%;15;DFS;0.035;69;52;30;99
20;20%;16;BFS;0.0208;319;38;20;339
20;20%;16;DFS;0.0268;58;50;28;86
20;20%;17;BFS;0.0211;317;38;25;342
20;20%;17;DFS;0.0264;51;50;38;89
20;20%;18;BFS;0.0205;313;38;19;332
20;20%;18;DFS;0.0428;95;74;46;141
20;20%;19;BFS;0.0447;319;38;17;336
20;20%;19;DFS;0.085;106;80;53;159
20;20%;20;BFS;0.0387;318;38;22;340
20;20%;20;DFS;0.0797;124;94;59;183
20;20%;21;BFS;0.0394;320;38;19;339
20;20%;21;DFS;0.0787;47;44;27;74
20;20%;22;BFS;0.0321;320;38;19;339
20;20%;22;DFS;0.0337;47;44;27;74
20;20%;23;BFS;0.0279;320;38;19;339
20;20%;23;DFS;0.0381;57;54;33;90
20;20%;24;BFS;0.046;320;38;19;339
20;20%;24;DFS;0.037;49;44;23;72
20;20%;25;BFS;0.0361;317;38;20;337
20;20%;25;DFS;0.0339;48;46;32;80
20;20%;26;BFS;0.0372;317;38;20;337
20;20%;26;DFS;0.036;48;46;32;80
20;20%;27;BFS;0.0372;314;38;20;334
20;20%;27;DFS;0.0402;55;44;29;84
20;20%;28;BFS;0.053;318;38;24;342
20;20%;28;DFS;0.0432;57;52;32;89
20;20%;29;BFS;0.0863;319;38;20;339
20;20%;29;DFS;0.0924;154;104;62;216
20;20%;30;BFS;0.0372;320;38;21;341
20;20%;30;DFS;0.0396;54;42;22;76
20;30%;1;BFS;0.0276;241;38;18;259
20;30%;1;DFS;0.0474;91;60;43;134
20;30%;2;BFS;0.0477;263;40;20;283
20;30%;2;DFS;0.0858;123;66;33;156
20;30%;3;BFS;0.0197;271;38;18;289
20;30%;3;DFS;0.0323;228;64;32;260
20;30%;4;BFS;0.0198;277;38;23;300
20;30%;4;DFS;0.0181;138;90;52;190
20;30%;5;BFS;0.0187;274;38;18;292
20;30%;5;DFS;0.0159;124;82;38;162
20;30%;6;BFS;0.0222;267;38;17;284
20;30%;6;DFS;0.0128;88;66;30;118
20;30%;7;BFS;0.0192;275;38;18;293
20;30%;7;DFS;0.0136;94;54;26;120
20;30%;8;BFS;0.0188;267;38;18;285
20;30%;8;DFS;0.0123;79;62;31;110
20;30%;9;BFS;0.0193;271;40;18;289
20;30%;9;DFS;0.0117;64;50;19;83
20;30%;10;BFS;0.0222;271;40;18;289
20;30%;10;DFS;0.0166;64;50;19;83
20;30%;11;BFS;0.0259;252;42;14;266
20;30%;11;DFS;0.0191;54;46;26;80
20;30%;12;BFS;0.0259;249;38;16;265
20;30%;12;DFS;0.0206;68;42;20;88
20;30%;13;BFS;0.0613;274;42;20;294
20;30%;13;DFS;0.0235;103;46;24;127
20;30%;14;BFS;0.0344;248;38;15;263
20;30%;14;DFS;0.0291;82;56;30;112
20;30%;15;BFS;0.0321;274;38;20;294
20;30%;15;DFS;0.0144;78;50;27;105
20;30%;16;BFS;0.0199;221;38;13;234
20;30%;16;DFS;0.0159;108;66;37;145
20;30%;17;BFS;0.0195;221;38;13;234
20;30%;17;DFS;0.0141;108;66;37;145
20;30%;18;BFS;0.0278;212;38;15;227
20;30%;18;DFS;0.0177;137;68;45;182
20;30%;19;BFS;0.0196;212;38;15;227
20;30%;19;DFS;0.0671;137;68;45;182
20;30%;20;BFS;0.1509;268;40;13;281
20;30%;20;DFS;0.0238;84;62;33;117
20;30%;21;BFS;0.0313;276;38;13;289
20;30%;21;DFS;0.0422;107;52;28;135
20;30%;22;BFS;0.0307;276;38;13;289
20;30%;22;DFS;0.0174;107;52;28;135
20;30%;23;BFS;0.0283;276;38;13;289
20;30%;23;DFS;0.0133;107;52;28;135
20;30%;24;BFS;0.0278;276;40;19;295
20;30%;24;DFS;0.0224;123;66;33;156
20;30%;25;BFS;0.0258;260;40;18;278
20;30%;25;DFS;0.0146;85;64;39;124
20;30%;26;BFS;0.0232;260;40;18;278
20;30%;26;DFS;0.0115;85;64;39;124
20;30%;27;BFS;0.0315;270;44;17;287
20;30%;27;DFS;0.0205;155;100;54;209
20;30%;28;BFS;0.0284;270;44;17;287
20;30%;28;DFS;0.0216;155;100;54;209
20;30%;29;BFS;0.0234;270;44;17;287
20;30%;29;DFS;0.0203;155;100;54;209
20;30%;30;BFS;0.0413;262;38;16;278
20;30%;30;DFS;0.019;93;52;25;118
50;10%;1;BFS;0.2326;2250;98;52;2302
50;10%;1;DFS;0.0285;119;114;90;209
50;10%;2;BFS;0.249;2250;98;50;2300
50;10%;2;DFS;0.0388;103;102;86;189
50;10%;3;BFS;0.2145;2249;98;52;2301
50;10%;3;DFS;0.0493;125;120;88;213
50;10%;4;BFS;0.2145;2250;98;52;2302
50;10%;4;DFS;0.0268;107;106;85;192
50;10%;5;BFS;0.2662;2249;98;50;2299
50;10%;5;DFS;0.0444;123;116;89;212
50;10%;6;BFS;0.1618;2250;98;50;2300
50;10%;6;DFS;0.0246;116;112;88;204
50;10%;7;BFS;0.1347;2250;98;49;2299
50;10%;7;DFS;0.0264;189;178;132;321
50;10%;8;BFS;0.138;2250;98;51;2301
50;10%;8;DFS;0.04;139;126;89;228
50;10%;9;BFS;0.1329;2249;98;50;2299
50;10%;9;DFS;0.0167;113;112;86;199
50;10%;10;BFS;0.1446;2250;98;51;2301
50;10%;10;DFS;0.0289;256;240;193;449
50;10%;11;BFS;0.1348;2249;98;53;2302
50;10%;11;DFS;0.0177;123;116;86;209
50;10%;12;BFS;0.1323;2250;98;50;2300
50;10%;12;DFS;0.0185;111;110;85;196
50;10%;13;BFS;0.257;2249;98;46;2295
50;10%;13;DFS;0.0283;107;104;89;196
50;10%;14;BFS;0.2309;2250;98;49;2299
50;10%;14;DFS;0.0243;130;118;92;222
50;10%;15;BFS;0.1672;2250;98;51;2301
50;10%;15;DFS;0.02;145;126;89;234
50;10%;16;BFS;0.1837;2249;98;51;2300
50;10%;16;DFS;0.0274;183;176;143;326
50;10%;17;BFS;0.1818;2250;98;52;2302
50;10%;17;DFS;0.0363;109;104;82;191
50;10%;18;BFS;0.1665;2248;98;51;2299
50;10%;18;DFS;0.0442;121;116;88;209
50;10%;19;BFS;0.2269;2250;98;51;2301
50;10%;19;DFS;0.0321;132;120;95;227
50;10%;20;BFS;0.1892;2250;98;52;2302
50;10%;20;DFS;0.0317;121;116;98;219
50;10%;21;BFS;0.2154;2250;98;52;2302
50;10%;21;DFS;0.1103;121;116;98;219
50;10%;22;BFS;0.1487;2249;98;47;2296
50;10%;22;DFS;0.0512;107;106;92;199
50;10%;23;BFS;0.2041;2250;98;53;2303
50;10%;23;DFS;0.018;119;116;91;210
50;10%;24;BFS;0.2012;2250;98;52;2302
50;10%;24;DFS;0.0911;122;114;92;214
50;10%;25;BFS;0.1907;2250;98;52;2302
50;10%;25;DFS;0.0214;158;148;116;274
50;10%;26;BFS;0.1475;2249;98;52;2301
50;10%;26;DFS;0.0249;106;104;81;187
50;10%;27;BFS;0.151;2248;98;51;2299
50;10%;27;DFS;0.0201;123;116;91;214
50;10%;28;BFS;0.1489;2250;98;52;2302
50;10%;28;DFS;0.0183;118;116;92;210
50;10%;29;BFS;0.1392;2249;98;54;2303
50;10%;29;DFS;0.0168;127;118;90;217
50;10%;30;BFS;0.1424;2250;98;49;2299
50;10%;30;DFS;0.013;123;116;91;214
50;20%;1;BFS;0.2525;1993;98;50;2043
50;20%;1;DFS;0.0255;179;156;91;270
50;20%;2;BFS;0.1416;1999;98;49;2048
50;20%;2;DFS;0.0255;219;196;122;341
50;20%;3;BFS;0.1576;1993;98;49;2042
50;20%;3;DFS;0.0186;188;140;92;280
50;20%;4;BFS;0.2312;1995;98;51;2046
50;20%;4;DFS;0.0291;212;178;123;335
50;20%;5;BFS;0.2759;1994;98;50;2044
50;20%;5;DFS;0.0513;285;232;152;437
50;20%;6;BFS;0.1847;1996;98;48;2044
50;20%;6;DFS;0.0152;148;126;81;229
50;20%;7;BFS;0.2381;1993;98;47;2040
50;20%;7;DFS;0.0295;174;146;94;268
50;20%;8;BFS;0.3088;1992;98;53;2045
50;20%;8;DFS;0.0385;243;220;144;387
50;20%;9;BFS;0.4484;1992;98;53;2045
50;20%;9;DFS;0.0271;243;220;144;387
50;20%;10;BFS;0.2531;1988;98;54;2042
50;20%;10;DFS;0.0456;501;392;253;754
50;20%;11;BFS;0.2694;1993;98;51;2044
50;20%;11;DFS;0.0302;307;194;119;426
50;20%;12;BFS;0.3425;1995;100;48;2043
50;20%;12;DFS;0.0554;378;298;197;575
50;20%;13;BFS;0.294;1974;98;46;2020
50;20%;13;DFS;0.0619;285;232;154;439
50;20%;14;BFS;0.471;1993;98;49;2042
50;20%;14;DFS;0.0762;506;414;264;770
50;20%;15;BFS;0.2164;1989;98;53;2042
50;20%;15;DFS;0.0414;287;216;152;439
50;20%;16;BFS;0.2333;1996;98;50;2046
50;20%;16;DFS;0.0487;540;424;271;811
50;20%;17;BFS;0.1781;1991;98;54;2045
50;20%;17;DFS;0.0206;167;122;83;250
50;20%;18;BFS;0.1822;1997;98;43;2040
50;20%;18;DFS;0.033;373;290;186;559
50;20%;19;BFS;0.1774;1998;98;54;2052
50;20%;19;DFS;0.0144;152;132;85;237
50;20%;20;BFS;0.1913;1996;98;47;2043
50;20%;20;DFS;0.0271;317;254;168;485
50;20%;21;BFS;0.18;1996;98;47;2043
50;20%;21;DFS;0.0313;317;254;168;485
50;20%;22;BFS;0.1747;1988;98;50;2038
50;20%;22;DFS;0.0248;310;232;154;464
50;20%;23;BFS;0.1888;1988;98;50;2038
50;20%;23;DFS;0.0254;310;232;154;464
50;20%;24;BFS;0.1989;1995;98;57;2052
50;20%;24;DFS;0.024;136;124;77;213
50;20%;25;BFS;0.2342;1997;98;56;2053
50;20%;25;DFS;0.024;249;216;143;392
50;20%;26;BFS;0.1775;1991;98;51;2042
50;20%;26;DFS;0.0355;423;298;195;618
50;20%;27;BFS;0.1737;1991;98;51;2042
50;20%;27;DFS;0.0318;423;298;195;618
50;20%;28;BFS;0.2023;1993;98;48;2041
50;20%;28;DFS;0.0301;142;120;77;219
50;20%;29;BFS;0.205;1994;98;50;2044
50;20%;29;DFS;0.0733;311;246;181;492
50;20%;30;BFS;0.196;1994;98;50;2044
50;20%;30;DFS;0.0239;222;180;123;345
50;30%;1;BFS;0.2379;1680;98;44;1724
50;30%;1;DFS;0.0489;317;160;83;400
50;30%;2;BFS;0.2716;1621;100;40;1661
50;30%;2;DFS;0.0596;390;266;141;531
50;30%;3;BFS;0.1323;1621;100;40;1661
50;30%;3;DFS;0.0318;390;266;141;531
50;30%;4;BFS;0.4583;1714;98;50;1764
50;30%;4;DFS;0.0486;355;230;124;479
50;30%;5;BFS;0.2848;1710;98;35;1745
50;30%;5;DFS;0.1663;450;154;76;526
50;30%;6;BFS;0.2243;1710;98;35;1745
50;30%;6;DFS;0.0393;450;154;76;526
50;30%;7;BFS;0.1849;1705;106;41;1746
50;30%;7;DFS;0.0764;1025;520;269;1294
50;30%;8;BFS;0.1761;1662;98;39;1701
50;30%;8;DFS;0.121;1562;182;296;1858
50;30%;9;BFS;0.3577;1662;98;39;1701
50;30%;9;DFS;0.3235;1562;182;296;1858
50;30%;10;BFS;0.2033;1662;98;39;1701
50;30%;10;DFS;0.1121;1562;182;296;1858
50;30%;11;BFS;0.2319;1692;102;36;1728
50;30%;11;DFS;0.0359;464;228;112;576
50;30%;12;BFS;0.1714;1692;102;36;1728
50;30%;12;DFS;0.0338;464;228;112;576
50;30%;13;BFS;0.1699;1674;98;41;1715
50;30%;13;DFS;0.0361;481;306;151;632
50;30%;14;BFS;0.1738;1707;104;41;1748
50;30%;14;DFS;0.0219;255;136;65;320
50;30%;15;BFS;0.1953;1707;104;41;1748
50;30%;15;DFS;0.0352;255;136;65;320
50;30%;16;BFS;0.1749;1707;104;41;1748
50;30%;16;DFS;0.0223;255;136;65;320
50;30%;17;BFS;0.2123;1707;104;41;1748
50;30%;17;DFS;0.0332;255;136;65;320
50;30%;18;BFS;0.1748;1699;100;44;1743
50;30%;18;DFS;0.3213;1513;228;332;1845
50;30%;19;BFS;0.1738;1688;98;53;1741
50;30%;19;DFS;0.028;352;232;132;484
50;30%;20;BFS;0.2874;1701;100;37;1738
50;30%;20;DFS;0.0959;720;410;217;937
50;30%;21;BFS;0.3322;1701;100;37;1738
50;30%;21;DFS;0.0986;720;410;217;937
50;30%;22;BFS;0.2881;1697;98;47;1744
50;30%;22;DFS;0.0335;382;230;143;525
50;30%;23;BFS;0.3178;1697;98;47;1744
50;30%;23;DFS;0.0527;382;230;143;525
50;30%;24;BFS;0.2123;1709;102;45;1754
50;30%;24;DFS;0.0253;257;146;76;333
50;30%;25;BFS;0.2788;1709;102;49;1758
50;30%;25;DFS;0.0757;569;298;167;736
50;30%;26;BFS;0.1907;1709;102;49;1758
50;30%;26;DFS;0.0572;569;298;167;736
50;30%;27;BFS;0.209;1709;102;49;1758
50;30%;27;DFS;0.2193;569;298;167;736
50;30%;28;BFS;0.2316;1687;98;48;1735
50;30%;28;DFS;0.0368;276;166;102;378
50;30%;29;BFS;0.1788;1680;100;45;1725
50;30%;29;DFS;0.0664;514;290;151;665
50;30%;30;BFS;0.2955;1680;100;45;1725
50;30%;30;DFS;0.0741;514;290;151;665
